N_ait [m^-3],R_ait [m],GSD_ait [unitless],N_acc [m^-3],R_acc [m],GSD_acc [unitless],N_coa [m^-3],R_coa [m],GSD_coa [unitless],N_mcb [m^-3],R_mcb [m],GSD_mcb [unitless],temperature [K],pressure [Pa],updraft [m s^-1],ait_maf [unitless],acc_maf [unitless],coa_maf [unitless],mcb_maf [unitless],Nact [m^-3],Smax [%%],runtime_seconds [s]
1298000000.0,0.043172,1.59,1348700000.0,0.068516,1.4,5780100.0,0.74819,2.0,905950000.0,0.11639,1.6563,293.11,67124.0,0.95727,0.3177,0.78196,0.98727,1.0,1134900000.0,0.066083,0.65139
683750000.0,0.036619,1.59,1220500000.0,0.10908,1.4,5769000.0,0.30242,2.0,171120000.0,0.11842,1.5982,248.89,90816.0,0.11803,0.67444,0.42243,0.91824,1.0,645330000.0,0.069713,6.335
679710000.0,0.038879,1.59,1090900000.0,0.059891,1.4,3563500.0,0.7586,2.0,1111400000.0,0.060216,1.9136,293.84,57912.0,0.35863,0.56733,0.84054,0.91562,1.0,517280000.0,0.056386,1.0028
1977100000.0,0.034154,1.59,449560000.0,0.074845,1.4,527780.0,0.86663,2.0,1396600000.0,0.11687,1.9893,274.93,69235.0,0.94568,0.34377,0.37888,0.9612,1.0,1003500000.0,0.056197,1.8719
1065400000.0,0.019561,1.59,353260000.0,0.076212,1.4,4248300.0,0.17857,2.0,414780000.0,0.14633,1.9885,265.53,66596.0,0.2627,0.57009,0.56819,0.98768,1.0,303610000.0,0.042065,6.0264
332730000.0,0.015433,1.59,879580000.0,0.11264,1.4,547660.0,0.54453,2.0,659760000.0,0.12667,1.2988,274.83,91647.0,0.58793,0.033827,0.4835,0.96216,1.0,1314800000.0,0.085148,0.91787
437240000.0,0.047294,1.59,859060000.0,0.070026,1.4,5007300.0,0.60022,2.0,1168300000.0,0.0050831,1.6969,269.19,82662.0,0.85462,0.58103,0.55511,0.94846,1.0,1097400000.0,0.27082,0.41702
390210000.0,0.043567,1.59,1228900000.0,0.10587,1.4,1147500.0,0.90672,2.0,1361700000.0,0.089146,1.8452,246.26,84211.0,0.5109,0.6809,0.80467,0.92947,1.0,1740000000.0,0.080865,4.7875
551330000.0,0.028744,1.59,1304900000.0,0.10877,1.4,5459000.0,0.63124,2.0,1824200000.0,0.018938,1.7076,259.86,54195.0,0.87814,0.73174,0.58835,0.98792,1.0,1369100000.0,0.14522,0.65888
1501600000.0,0.028672,1.59,712720000.0,0.092187,1.4,1562800.0,0.90811,2.0,324730000.0,0.087852,1.6242,283.78,65647.0,0.80302,0.31823,0.68041,0.94657,1.0,969720000.0,0.12901,0.63913
1173900000.0,0.018649,1.59,1460700000.0,0.056354,1.4,1188200.0,0.39368,2.0,787270000.0,0.049355,1.2636,249.2,55454.0,0.77353,0.55745,0.67565,0.92183,1.0,2025000000.0,0.27686,0.47578
2062500000.0,0.028804,1.59,1026600000.0,0.086575,1.4,5827800.0,0.6562,2.0,1227300000.0,0.06882,1.4815,245.25,83327.0,0.45556,0.023035,0.49398,0.91785,1.0,1765900000.0,0.14618,1.0791
1460500000.0,0.030169,1.59,576460000.0,0.10907,1.4,4154600.0,0.47827,2.0,3544800.0,0.051111,1.3714,262.37,78752.0,0.83464,0.33956,0.11748,0.91994,1.0,953720000.0,0.35782,0.50394
1788100000.0,0.029987,1.59,1169000000.0,0.099268,1.4,1084900.0,0.66806,2.0,652960000.0,0.011504,1.2045,275.54,52327.0,0.19561,0.74838,0.57475,0.95345,1.0,583160000.0,0.066367,1.2621
662110000.0,0.028611,1.59,1255400000.0,0.082085,1.4,1961100.0,0.59572,2.0,8116500.0,0.049658,1.588,293.71,81058.0,0.64141,0.84171,0.8351,0.92228,1.0,1145200000.0,0.12108,0.42102
706280000.0,0.027089,1.59,635630000.0,0.10412,1.4,767860.0,0.86567,2.0,1221100000.0,0.090743,1.3484,272.15,94835.0,0.88849,0.28275,0.8134,0.95522,1.0,1808700000.0,0.12521,0.45035
1620900000.0,0.016146,1.59,1335900000.0,0.079133,1.4,5882000.0,0.21403,2.0,954180000.0,0.050879,1.3625,254.5,59527.0,0.85478,0.048194,0.73933,0.91561,1.0,2030900000.0,0.1973,0.45522
495840000.0,0.03067,1.59,690620000.0,0.090117,1.4,2789500.0,0.36041,2.0,1356700000.0,0.061522,1.9569,245.78,65954.0,0.45839,0.46875,0.54606,0.97097,1.0,1195600000.0,0.11392,1.4937
2044500000.0,0.015727,1.59,1104400000.0,0.088527,1.4,5546600.0,0.80122,2.0,378400000.0,0.045501,1.5106,278.61,69534.0,0.70652,0.58451,0.45911,0.98248,1.0,1191700000.0,0.15278,0.42352
132450000.0,0.044231,1.59,86152000.0,0.11154,1.4,752940.0,0.2387,2.0,1796200000.0,0.073208,1.4157,292.94,71789.0,0.71295,0.64768,0.14324,0.96133,1.0,1473400000.0,0.090824,0.66379
684740000.0,0.045154,1.59,486340000.0,0.12236,1.4,969010.0,0.6026,2.0,511480000.0,0.058286,1.5464,245.19,100940.0,0.97258,0.10003,0.98195,0.92812,1.0,1160600000.0,0.38811,0.55102
870220000.0,0.013318,1.59,93039000.0,0.071963,1.4,2941000.0,0.33152,2.0,1129300000.0,0.10651,1.9717,294.97,84440.0,0.44712,0.70543,0.48083,0.94297,1.0,607500000.0,0.036917,2.5986
538890000.0,0.024585,1.59,1398700000.0,0.070665,1.4,1812200.0,0.81467,2.0,1216700000.0,0.10895,1.3469,288.33,101310.0,0.11569,0.45199,0.49507,0.98671,1.0,618150000.0,0.033485,5.2724
1739000000.0,0.03957,1.59,1182700000.0,0.12242,1.4,2913700.0,0.3257,2.0,1160800000.0,0.03116,1.7332,262.74,83091.0,0.76774,0.45955,0.12578,0.96885,1.0,2104800000.0,0.2207,0.73207
1155100000.0,0.045027,1.59,1522000000.0,0.093246,1.4,958800.0,0.78304,2.0,1352200000.0,0.057207,1.4838,276.68,74559.0,0.82861,0.10484,0.7124,0.94341,1.0,2143700000.0,0.11223,0.45259
817900000.0,0.034982,1.59,373250000.0,0.078711,1.4,3236200.0,0.36759,2.0,238940000.0,0.034694,1.9815,243.57,98166.0,0.096432,0.87876,0.078851,0.9437,1.0,459810000.0,0.22124,1.6879
706910000.0,0.021964,1.59,1172400000.0,0.067344,1.4,4903100.0,0.91826,2.0,1326000000.0,0.049224,1.929,286.69,99133.0,0.48225,0.82349,0.42468,0.91381,1.0,1102700000.0,0.11062,0.53254
1808600000.0,0.027464,1.59,767680000.0,0.09038,1.4,2828600.0,0.63158,2.0,1385100000.0,0.054446,1.3302,252.74,78702.0,0.94989,0.07815,0.26408,0.99091,1.0,2099800000.0,0.28047,0.43914
1977000000.0,0.03901,1.59,141910000.0,0.10232,1.4,2995500.0,0.68789,2.0,1966600000.0,0.11453,1.9916,265.62,66471.0,0.83819,0.21203,0.29532,0.92256,1.0,1146400000.0,0.044399,6.1805
